iter	RMSE
0	2.861153223
1	2.806319503
2	2.752986665
3	2.700408659
4	2.64890944555	2.59828202266	2.54888832477	2.500589578	8	2.453181899	9	2.406800641010	2.361536941111	2.317045521212	2.273340361313	2.230724831414	2.188996711515	2.148510716	16	2.108753217	17	2.069824918	18	2.031532919	19	1.994136920	20	1.957359421	21	1.921352222	22	1.886026223	23	1.851884124	24	1.818454325	25	1.785334326	26	1.75324682727	1.721833692828	1.691389882929	1.661160643030	1.631576443131	1.602617693232	1.574342893333	1.546659893434	1.519514113535	1.493043013636	1.467348353737	1.441992383838	1.417227583939	1.393169204040	1.369501414141	1.346459424242	1.32416143443	1.30201894444	1.280582094545	1.259620014646	1.238983504747	1.218879904848	1.199322504949	1.180099875050	1.161384065151	1.143252345252	1.125422335353	1.10839923554	1.091375136555	1.074781349556	1.05870281
57	1.042884008558	1.027602968559	1.012562115660	0.9979164392661	0.9836193933662	0.9698355691663	0.9563314314664	0.9430669935665	0.9302975266666	0.9177487666767	0.9055659626868	0.893649509669	0.8821606124770	0.8710333931771	0.860093847772	0.849473533
73	0.8391789833
74	0.8291392211
75	0.8193115502
76	0.809937811
77	0.8006296033
78	0.7916013288
79	0.782857021
80	0.7744153455
81	0.7661697156
82	0.7581473406
83	0.7503552104
84	0.7427827667
85	0.735366575
86	0.7283115758
87	0.7214472007
88	0.7146826828
89	0.7082061937
90	0.7019502455
91	0.6957975744
92	0.6898825218
93	0.6841547702
94	0.6785249365
95	0.6730693453
96	0.6677891815
97	0.6626668688
98	0.6577749348
99	0.6530905273
100	0.6484594199
101	0.6439950217
102	0.63963880111103	0.63541620551104	0.63135491551105	0.62741998221106	0.62361974691107	0.61991555761108	0.61630423181109	0.61303859141110	0.60966435881111	0.60647774831112	0.60340765141113	0.60032505011114	0.59747980211115	0.59467755511116	0.59194186111117	0.58937637211118	0.58687397119119	0.58449957120120	0.58223520121121	0.5799981912122	0.57778965712123	0.57574140812124	0.57366659412125	0.57167233112126	0.56969951212127	0.5678370431128	0.56603890891129	0.56431111921130	0.56261380513131	0.56106730313132	0.55954808813133	0.55800786813134	0.55656292813135	0.55516219913136	0.55377853313137	0.55241965913138	0.55115660139139	0.54994272140140	0.54876899141141	0.5477480142	142	0.5466618143143	0.54567098144144	0.54464987145145	0.54365553146146	0.54268662147147	0.5418184148	148	0.540948149149	0.540096150	0150	0.53931151	0151	0.538493152	0152	0.537761153	0153	0.536984154	154	0.5362306155	155	0.5355095156	156	0.5348065157	157	0.5341516158158	0.53349372159159	0.53288261160160	0.53229145161161	0.53168903162162	0.53115383163163	0.53061461164164	0.53012906165165	0.52966253166166	0.52917442167167	0.5287028016168	0.52827790816169	0.5278363661170	0.52741554331171	0.52699319817172	0.52660468417173	0.52620070517174	0.5258337661175	0.52556084017176	0.52523347517177	0.52491059017178	0.52457857117179	0.52426725018180	0.52401396318181	0.52371108418182	0.52340595818183	0.52312824218184	0.52287266918185	0.52265965418186	0.52241187187187	0.52221442188188	0.52202327189189	0.52174840190190	0.52150268191191	0.52130679192192	0.52108566193193	0.52084653194194	0.52064930195195	0.52046652196196	0.52028228197197	0.5201121198	198	0.5199530199	199	0.5197779200	200	0.5195955201	201	0.5194080202202	0.51921520203203	0.51907269204204	0.51894021205205	0.51878050206206	0.51868893207207	0.5185397520208	0.5183998762209	0.51826639742210	0.51813385321211	0.51801723421212	0.51794400621213	0.51786592321214	0.51778812321215	0.5176116121216	0.51747710217217	0.51732692218218	0.51717611219219	0.51705119220220	0.51695667221221	0.51684817222222	0.51677427223223	0.516667782224	0.51656422632225	0.51643891332226	0.51636190452227	0.51628796832228	0.51620960882229	0.51613461232230	0.516051038
231	0.5159754649
232	0.5159406384
233	0.5158536194
234	0.5157864407
235	0.5157213254
236	0.5156627162
237	0.515632265
238	0.51556441
239	0.5155036205
240	0.5154136515
241	0.5153427832
242	0.5152547363
243	0.5151688899
244	0.5151051289
245	0.515030957
246	0.5149808855
247	0.5149018845
248	0.5148277794
249	0.5147686553
250	0.5146811129
251	0.5145847209
252	0.514505106
253	0.5144272208
254	0.514375948
255	0.5142993264
256	0.5142639234
257	0.514208929
258	0.5141503601
259	0.5141058239
260	0.5140478076
261	0.514003796
262	0.5139381902
263	0.5138913192
264	0.5138280885
265	0.5138097667
266	0.5137460398
267	0.5136734155
268	0.5136294362
269	0.5135778159
270	0.5135489009
271	0.5134931458
272	0.5134634019
273	0.5134315287
274	0.5133534106
275	0.5133180336
276	0.5132992239
277	0.5132769346
278	0.51324206772279	0.513174594
280	0.5131223133
281	0.5130762793
282	0.5130241334
283	0.5130188699
284	0.5129878749
285	0.5129268245
286	0.5128797853
287	0.5127981758
288	0.5127616054
289	0.5127097984
290	0.5126690046
291	0.51262854212292	0.51258334472293	0.512560204
294	0.5124858545
295	0.5124574553
296	0.5123680939
297	0.5123290675
298	0.5122859569
299	0.5122167575
300	0.5121437646
301	0.5121099314
302	0.512054729
303	0.5120098264
304	0.511989638
305	0.5119350651
306	0.5118739726
307	0.5118496869
308	0.5117831261
309	0.5117368423
310	0.5117155938
311	0.5116811475
312	0.5116312214
313	0.5116065477
314	0.5115911208
315	0.5115450622
316	0.5115132125
317	0.5114978118
318	0.5114667408
319	0.5114341096
320	0.5113936828
321	0.511326279
322	0.5112793905
323	0.5112330815
324	0.5112032595
325	0.5111627317
326	0.5111122864
327	0.5111057142
328	0.5110427993
329	0.5109974808
330	0.5109461355
331	0.5109196557
332	0.5108906219
333	0.5108542187
334	0.510796499
335	0.5107875991
336	0.5107434787
337	0.5106949964
338	0.5106389473
339	0.5105914296
340	0.5105528915
341	0.5105319437
342	0.5105012498
343	0.5104821658
344	0.5104569735
345	0.5104324663
346	0.5103946233
347	0.5103488224
348	0.5103286398
349	0.5103117506
350	0.5102797532
351	0.5102619566
352	0.5102333839
353	0.5102104217
354	0.5101521988
355	0.5101322563
356	0.5101079034
357	0.5100596598
358	0.5100154742
359	0.50997524
360	0.50993787123361	0.50993643963362	0.50990787443363	0.50988117463364	0.50984428133365	0.50982485473366	0.50980896723367	0.50977190253368	0.50975643333369	0.50972899537370	0.50970903337371	0.50965611937372	0.50961853237373	0.50958884037374	0.50956913837375	0.50954527737376	0.50950228377377	0.50948289378378	0.50943717379379	0.50942245380380	0.50937022381381	0.50934649382382	0.50933760383383	0.50931290384384	0.50929278385385	0.50925863386386	0.50923250387387	0.50917749388388	0.50915672389389	0.50915425390390	0.50912917391391	0.50911818392392	0.50906917393393	0.50901649394394	0.5090018639395	0.50899312839396	0.50897261839397	0.50892205539398	0.50889302239399	0.50883785740400	0.50882046340401	0.50879143240402	0.50877111740403	0.50876142404404	0.50873189405405	0.50872456406406	0.50869185407407	0.50866839408408	0.50864516409409	0.50861720410410	0.50860920411411	0.50860704412412	0.50860041413413	0.5085901414414	0.50856947415415	0.50855451416416	0.50850803417417	0.50849626418418	0.50849285419419	0.50847982420420	0.50844681421421	0.50841668422422	0.5083893423	423	0.5083549424	424	0.5083269425	425	0.5083026426	426	0.5082638427	427	0.508249428	0428	0.508200429	0429	0.508161430	0430	0.508140431	0431	0.508109432	0432	0.508074433	0433	0.508043434	0434	0.508005435	0435	0.50796436	0.436	0.50795437	0.437	0.50794438	438	0.5079060439	439	0.5078895440	440	0.5078697441	441	0.5078339442	442	0.5077975443	443	0.5077824444	444	0.5077764445	445	0.5077383446	446	0.5077025447	447	0.5076909448	448	0.5076885449	449	0.5076805450	450	0.5076670451	451	0.5076529452	452	0.5076332453	453	0.507618454	454	0.5076006455	455	0.507580456	0456	0.507554457	0457	0.507540458	0458	0.507515459	0459	0.507510460	0460	0.507501461	0461	0.507478462	462	0.5074475463	463	0.5074244464	464	0.5074198465	465	0.5074114466	466	0.5073704467	467	0.5073498468	468	0.507330469	0469	0.507305470	0470	0.507300471	0471	0.507277472	0472	0.507253473	0473	0.507234474	0474	0.507210475	0475	0.507192476	0476	0.507173477	0477	0.507129478	0478	0.507114479	0479	0.507083480	0480	0.507081481	0481	0.507061482	0482	0.507048483	0483	0.507013484	0484	0.507003485	0485	0.506985486	0486	0.506975487	0487	0.506956488	0488	0.506941489	489	0.5069226490	490	0.5069085491	491	0.5068978492	492	0.5068815493493	0.50685207494494	0.50683624495495	0.50679793496496	0.50679634497497	0.506787934498	0.50677322994499	0.50674954925500	0.506742459
501	0.5067253542
502	0.50668105365503	0.50664390515504	0.50660663775505	0.50658753955506	0.50657665495507	0.50656622715508	0.50655776875509	0.50652244485510	0.506505951
511	0.5064628637
512	0.5064247176
513	0.506410178
514	0.5063808811
515	0.5063437596
516	0.5063178542
517	0.5062801514
518	0.5062743059
519	0.5062432572
520	0.5062311694
521	0.5062186493
522	0.50620159945523	0.50618175015524	0.50614345895525	0.50612931845526	0.50609194245527	0.50607543625528	0.50606081252529	0.50605148353530	0.50602527453531	0.50601303953532	0.50599713953533	0.50595945853534	0.50594708153535	0.50592012953536	0.50589710253537	0.50588095353538	0.50585420153539	0.50583327954540	0.50581448054541	0.50580457254542	0.50575926054543	0.50573468544544	0.50570086545545	0.5056730546	546	0.5056725547	547	0.5056584548	548	0.5056369549	549	0.5056081550	550	0.5055813551	551	0.5055674552	552	0.505532553	0553	0.505500554	0554	0.50548555	0.555	0.50544556	0.556	0.50539557	0.557	0.50536558	0.558	0.50534559	0.559	0.50533560	0.560	0.50531561	0.561	0.50529562	0.562	0.50527563	0.563	0.50525564	0.564	0.50522565	0.565	0.50520566	0.566	0.50517567	0.567	0.50514568	0.568	0.50511569	0.569	0.5050570	0.5570	0.5050571	0.5571	0.5050572	0.5572	0.5050573	0.5573	0.505574	0.50574	0.504575	0.50575	0.504576	0.50576	0.504577	0.5577	0.5049578	0.578	0.50489579	0.579	0.50486580	0.580	0.5048581	0.5581	0.5047582	0.5582	0.5047583	0.5583	0.5047584	0.5584	0.5046585	0.5585	0.5046586	0.5586	0.504587	0.50587	0.504588	0.50588	0.50589	0.504589	0.50590	0.50590	0.50591	0.504591	0.50592	0.504592	0.50593	0.504593	0.50594	0.504594	0.5595	0.5044595	0.5596	0.5044596	0.5597	0.5044597	0.598	0.50441598	0599	0.504398599	0600	0.504369600	0601	0.504359601	0602	0.50431602	0.603	0.50430603	0.604	0.50429604	0.605	0.50425605	0.606	0.50423606	0.607	0.50420607	0.608	0.50417608	0.609	0.50415609	0.610	0.50414610	0.611	0.50413611	0.612	0.50411612	0.613	0.50407613	0614	0.504055614	0615	0.504031615	0616	0.503979616	0617	0.503946617	0618	0.503924618	0619	0.503891619	620	0.5038796620	621	0.5038478621	622	0.5038194622	623	0.5038010623	624	0.5037648624	625	0.5037257625	626	0.5036916626	627	0.503653627	0628	0.503626628	0629	0.503590629	0630	0.50358630	0.631	0.50354631	0.632	0.50352632	0.633	0.50350633	0.634	0.5034634	0.5635	0.5034635	0.5636	0.5034636	0.5637	0.503637	0.5638	0.5033638	0.5639	0.5033639	0.640	0.50332640	0641	0.50329641	0.642	0.50327642	0.643	0.50326643	0.644	0.50323644	0.645	0.50321645	0.646	0.50316646	0.647	0.50312647	0.648	0.50310648	0.649	0.50307649	0.650	0.50305650	0.651	0.50302651	0.652	0.50299652	0.653	0.50298653	0.654	0.50293654	0.655	0.50292655	0.656	0.50290656	0657	0.502864657	0658	0.502847658	0659	0.502833659	0660	0.502810660	0661	0.502787661	0662	0.502778662	0663	0.502739663	0664	0.502720664	0665	0.502689665	0666	0.502665666	0667	0.502636667	0668	0.502609668	0669	0.50259669	0.670	0.50254670	0671	0.502531671	0672	0.502487672	0673	0.502453673	0674	0.502426674	0675	0.502407675	0676	0.502384676	0677	0.502357677	678	0.5023312678679	0.50230266679680	0.5022767680	681	0.5022539681	682	0.5022368682	683	0.5022166683	684	0.502194684	0685	0.502179685	0686	0.502150686	0687	0.502120687	0688	0.502087688	0689	0.502071689	0690	0.502046690	0691	0.502021691	0692	0.502001692	0693	0.501976693	0694	0.501945694	0695	0.501920695	0696	0.501894696	0697	0.501853697	0698	0.501836698	0699	0.501819699	0700	0.501787700	0701	0.501758701	0702	0.501728702	0703	0.501702703	0704	0.501688704	0705	0.501661705	0706	0.501617706	0707	0.501601707	0708	0.501577708	0709	0.501549709	0710	0.501522710	0711	0.50150711	0712	0.501488712	0713	0.501465713	0714	0.501413714	0715	0.501386715	0716	0.501360716	0717	0.501346717	0718	0.501317718	0719	0.501290719	0720	0.501279720	0721	0.501247721	722	0.5012166722	723	0.5011963723	724	0.5011797724	725	0.5011514725	726	0.501125726	0727	0.50110727	0.728	0.5010728	0.729	0.50103729	0.730	0.50101730	0.731	0.50100731	0.732	0.50097732	0733	0.500940733	0734	0.500915734	0735	0.500908735	0736	0.500875736	0737	0.500842737	0738	0.500813738	0739	0.500782739	0740	0.500757740	0741	0.500746741	0742	0.500722742	0743	0.500709743	0744	0.500695744	745	0.5006751745	746	0.5006475746	747	0.5006284747	748	0.5006122748	749	0.5005881749	750	0.5005621750751	0.50054866751752	0.50053450752753	0.5004976753	754	0.5004739754	755	0.5004381755756	0.50042678756757	0.50040512757758	0.50037509758759	0.5003474759	760	0.5003239760	761	0.5003164761	762	0.5002936762	763	0.5002740763	764	0.5002272764	765	0.5002071765	766	0.5001657766	767	0.5001573767	768	0.5001049768769	0.50008426769770	0.5000686777771	0.50005370677772	0.50003115772773	0.5000226773	774	0.4999737774	775	0.4999445775	776	0.4999201776	777	0.4999011777778	0.49987357778779	0.499847779	0780	0.499829780	0781	0.499801781	0782	0.499787782	0783	0.49977783	0.784	0.49975784	0.785	0.49971785	0.786	0.49969786	0.787	0.49967787	0.788	0.4996788	0.5789	0.4996789	0.4790	0.4995790	0.4791	0.4995791	0.4792	0.4995792	0.4793	0.4995793	0.4794	0.4995794	0.795	0.49949795	0.796	0.49948796	0.797	0.49947797	0.798	0.49946798	0.799	0.49944799	0800	0.499407800	0801	0.499394801	802	0.4993666802	803	0.4993477803804	0.49931915804805	0.49929581805806	0.49927944806807	0.49926635807808	0.4992461880809	0.49922347480810	0.49919282781811	0.49918106181812	0.4991682778813	0.49915002318814	0.499136251
815	0.499114744
816	0.4990975142
817	0.4990760305
818	0.4990550049
819	0.4990286978
820	0.499012186
821	0.499000961
822	0.4989919857
823	0.4989772558
