iter	Passed	Remaining
0	1226	1225455
1	2906	1450451
2	4292	1426423
3	5816	1448307
4	7929	1577953
5	10612	1758083
6	11853	1681544
7	13151	1630778
8	15294	1684075
9	16992	1682256
10	18412	1655467
11	20911	1721719
12	23380	1775114
13	25416	1790044
14	26746	1756337
15	27939	1718264
16	29868	1727085
17	31099	1696628
18	33323	1720524
19	35399	1734564
20	36374	1695739
21	38487	1710955
22	40796	1732946
23	41496	1687537
24	42440	1655189
25	44654	1672833
26	45869	1653013
27	47034	1632780
28	47778	1599769
29	49942	1614809
30	52508	1641319
31	54637	1652785
32	56214	1647245
33	57882	1644543
34	59695	1645889
35	61841	1655966
36	63353	1648908
37	65759	1664760
38	67009	1651175
39	68590	1646178
40	70503	1649093
41	72059	1643642
42	74043	1647897
43	75876	1648581
44	77275	1639957
45	79254	1643661
46	81245	1647389
47	83172	1649590
48	84850	1646788
49	86932	1651719
50	88266	1642447
51	89873	1638456
52	91779	1639903
53	93190	1632555
54	94837	1629485
55	96672	1629621
56	97797	1617944
57	99673	1618829
58	101057	1611779
59	103058	1614580
60	104572	1609734
61	106444	1610406
62	108190	1609117
63	109046	1594800
64	110938	1595810
65	112583	1593227
66	114578	1595551
67	116212	1592799
68	117862	1590289
69	119466	1587197
70	120697	1579268
71	122598	1580154
72	124453	1580386
73	125914	1575634
74	127469	1572120
75	129625	1575975
76	130966	1569891
77	132556	1566888
78	134458	1567552
79	135855	1562335
80	137690	1562190
81	139432	1560968
82	140761	1555163
83	142260	1551319
84	144220	1552489
85	146064	1552357
86	146988	1542531
87	148966	1543829
88	150700	1542560
89	152685	1543821
90	154477	1543072
91	156292	1542542
92	157940	1540346
93	159118	1533632
94	161208	1535723
95	162698	1532077
96	164808	1534245
97	166887	1536048
98	168920	1537348
99	170611	1535499
100	172602	1536331
101	174364	1535095
102	176128	1533858
103	178111	1534496
104	179884	1533302
105	181898	1534122
106	183934	1535076
107	185790	1534491
108	187815	1535266
109	189322	1531791
110	191142	1530865
111	192879	1529255
112	194472	1526523
113	196204	1524888
114	197556	1520322
115	199235	1518310
116	201200	1518464
117	203257	1519263
118	204777	1516039
119	206500	1514334
120	208158	1512161
121	210043	1511626
122	211827	1510345
123	213345	1507180
124	215351	1507460
125	217444	1508304
126	219457	1508551
127	220930	1505085
128	222592	1502933
129	224204	1500443
130	226350	1501514
131	227908	1498668
132	230052	1499663
133	232139	1500243
134	234041	1499599
135	236220	1500695
136	238280	1500990
137	240300	1501006
138	242435	1501702
139	244246	1500370
140	246116	1499389
141	247128	1493215
142	248983	1492161
143	250765	1490661
144	252416	1488384
145	254330	1487661
146	256250	1486951
147	257661	1483295
148	259208	1480443
149	261022	1479125
150	262523	1476040
151	264703	1476765
152	266607	1475925
153	268705	1476133
154	270313	1473643
155	272445	1474001
156	274469	1473745
157	276541	1473720
158	278381	1472447
159	280629	1473303
160	282649	1472936
161	284696	1472690
162	286678	1472087
163	288617	1471247
164	290225	1468714
165	292119	1467636
166	293936	1466161
167	295955	1465683
168	297659	1463640
169	299643	1462966
170	301334	1460855
171	303411	1460609
172	305443	1460126
173	306939	1457081
174	308970	1456574
175	310065	1451671
176	311872	1450121
177	313914	1449650
178	316092	1449789
179	317846	1447966
180	319488	1445642
181	321444	1444733
182	323590	1444662
183	325837	1445019
184	327921	1444628
185	329317	1441204
186	330807	1438216
187	332076	1434289
188	333354	1430426
189	335436	1430020
190	337403	1429106
191	339178	1427376
192	341095	1426238
193	343061	1425296
194	345103	1424658
195	347110	1423863
196	349203	1423402
197	351063	1421983
198	351932	1416573
199	353568	1414274
200	355700	1413954
201	357622	1412786
202	359693	1412194
203	361581	1410876
204	363592	1410028
205	365637	1409299
206	367127	1406435
207	369329	1406293
208	371491	1405979
209	372889	1402773
210	374993	1402225
211	376558	1399662
212	378239	1397534
213	380122	1396150
214	381703	1393661
215	383743	1392846
216	385857	1392288
217	387814	1391150
218	389785	1390056
219	391710	1388792
220	393784	1388045
221	395863	1387305
222	397889	1386368
223	400120	1386130
224	402034	1384787
225	404082	1383894
226	406138	1383017
227	408024	1381555
228	409745	1379536
229	411705	1378316
230	413687	1377167
231	415719	1376174
232	417127	1373118
233	418924	1371351
234	420430	1368636
235	422439	1367559
236	424488	1366601
237	425494	1362296
238	427502	1361210
239	429512	1360122
240	431467	1358855
241	433663	1358333
242	435700	1357305
243	437803	1356473
244	439828	1355390
245	441781	1354079
246	442771	1349825
247	444893	1349032
248	447033	1348282
249	449131	1347395
250	451217	1346461
251	453295	1345494
252	455205	1344024
253	457267	1342996
254	459334	1341976
255	461276	1340585
256	463410	1339742
257	465344	1338317
258	467287	1336910
259	469286	1335660
260	471377	1334666
261	473086	1332587
262	475157	1331526
263	477110	1330126
264	479146	1328952
265	480932	1327083
266	482934	1325809
267	484228	1322594
268	486381	1321726
269	488328	1320296
270	490444	1319314
271	492483	1318117
272	494553	1316998
273	496464	1315449
274	498655	1314638
275	500593	1313151
276	502724	1312165
277	504707	1310787
278	506821	1309742
279	508822	1308401
280	510844	1307107
281	512759	1305535
282	514819	1304331
283	516331	1301737
284	518170	1299970
285	520201	1298684
286	522090	1297039
287	524243	1296045
288	526375	1294993
289	528372	1293602
290	530267	1291957
291	532300	1290646
292	534369	1289416
293	536360	1287993
294	538502	1286928
295	540531	1285587
296	542574	1284276
297	544563	1282829
298	546665	1281646
299	548390	1279577
300	550329	1278008
301	552250	1276393
302	554478	1275482
303	556642	1274419
304	558656	1273005
305	560937	1272192
306	562969	1270808
307	565065	1269563
308	567197	1268392
309	569203	1266936
310	571230	1265522
311	573348	1264306
312	575380	1262896
313	577442	1261547
314	579344	1259845
315	581368	1258404
316	583397	1256973
317	585427	1255538
318	587473	1254136
319	589465	1252615
320	591500	1251181
321	593566	1249806
322	595721	1248616
323	597856	1247378
324	599913	1245974
325	601940	1244502
326	604017	1243131
327	605983	1241526
328	607716	1239447
329	609841	1238163
330	611829	1236597
331	613997	1235393
332	615969	1233788
333	618103	1232506
334	620224	1231191
335	622261	1229707
336	624287	1228197
337	626353	1226764
338	628513	1225509
339	630274	1223474
340	632420	1222184
341	634277	1220335
342	636286	1218776
343	638278	1217181
344	640228	1215506
345	642156	1213787
346	644107	1212109
347	646126	1210558
348	648077	1208877
349	649990	1207125
350	652005	1205559
351	653948	1203859
352	656094	1202530
353	658116	1200969
354	660175	1199473
355	662098	1197727
356	663492	1195030
357	665533	1193498
358	667598	1192007
359	669563	1190334
360	671583	1188757
