iter	RMSE
0	2.860922261
1	2.80606828
2	2.752660317
3	2.70003036
4	2.648400413
5	2.597958974
6	2.548358779
7	2.499970476
8	2.452570102
9	2.406393688
10	2.361238123
11	2.31666027
12	2.273124953
13	2.230571593
14	2.188924194
15	2.147912858
16	2.107950885
17	2.068790065
18	2.030333246
19	1.992911688
20	1.956100244
21	1.920280236
22	1.88503912
23	1.850809249
24	1.817108603
25	1.784527965
26	1.752603894
27	1.72126737
28	1.690292444
29	1.660037858
30	1.630380496
31	1.601401142
32	1.573190564
33	1.545438284
34	1.518481059
35	1.492164284
36	1.466299398
37	1.441110462
38	1.41635285
39	1.392214076
40	1.368652807
41	1.345470065
42	1.322816532
43	1.300729694
44	1.279244396
45	1.258356912
46	1.237758153
47	1.21757002
48	1.198034748
49	1.178887612
50	1.160138832
51	1.14185497
52	1.124006621
53	1.106624116
54	1.089749457
55	1.073271122
56	1.057105149
57	1.041317524
58	1.02594907
59	1.010965535
60	0.9964814328
61	0.982280901
62	0.968380968
63	0.9549250556
64	0.9417075497
65	0.9288524044
66	0.9163298477
67	0.904282333
68	0.8923508865
69	0.8808452503
70	0.8696977053
71	0.8587381419
72	0.8481790289
73	0.8378135483
74	0.8277133786
75	0.817965146
76	0.8084233049
77	0.7992492694
78	0.7902021985
79	0.7814018279
80	0.7729385952
81	0.7646326957
82	0.7566563982
83	0.7488376738
84	0.7412754398
85	0.7339155617
86	0.7267780482
87	0.7197993796
88	0.7130724396
89	0.7066188463
90	0.7002780332
91	0.6942295665
92	0.6882417319
93	0.6825290989
94	0.6769322317
95	0.6715272553
96	0.6662689677
97	0.6612472201
98	0.6562918486
99	0.6515925392
100	0.6469587702
101	0.6425569043
102	0.6382771733
103	0.6341414078
104	0.6301197852
105	0.6262036794
106	0.6224122794
107	0.6187607439
108	0.6152679203
109	0.6118825372
110	0.6085361344
111	0.6053239313
112	0.6022522261
113	0.5992176803
114	0.5963334847
115	0.5936011316
116	0.5909805083
117	0.5884286217
118	0.58584647
119	0.5834302509
120	0.5811207083
121	0.5788450186
122	0.5766839019
123	0.5746053546
124	0.5725523989
125	0.5705621266
126	0.5686384427
127	0.5667771939
128	0.5650200638
129	0.563327144
130	0.5616663576
131	0.5600908026
132	0.55854838
133	0.5570145763
134	0.555591434
135	0.5541761671
136	0.5528379139
137	0.5515369756
138	0.5503303276
139	0.5491724238
140	0.5480658968
141	0.5470133389
142	0.5459679854
143	0.5449469684
144	0.543912548
145	0.5429430482
146	0.5419657791
147	0.5410266984
148	0.5401190231
149	0.5393085036
150	0.5384990007
151	0.537714995
152	0.5369613994
153	0.536256718
154	0.5355538362
155	0.5348903674
156	0.5342449044
157	0.5335802358
158	0.5329437975
159	0.5324043038
160	0.5318376462
161	0.5313090204
162	0.5307945824
163	0.5303104493
164	0.5298506675
165	0.5293834544
166	0.5289292544
167	0.5285192734
168	0.5280278577
169	0.5276113646
170	0.5272043135
171	0.5268315025
172	0.5264368487
173	0.5260864859
174	0.5257856835
175	0.5254414884
176	0.5250999683
177	0.5247602452
178	0.5244022125
179	0.5240781373
